"Messstellennummer";"Messstellenbezeichnung";"Datum";"Abfluss in m³/s"
2377050700;Siebeldingen Queich;27.8.2020;0.5046
2377050700;Siebeldingen Queich;28.8.2020;0.5964
2377050700;Siebeldingen Queich;29.8.2020;0.5716
2377050700;Siebeldingen Queich;30.8.2020;0.5402
2377050700;Siebeldingen Queich;31.8.2020;0.6549
2377050700;Siebeldingen Queich;1.9.2020;0.6781
2377050700;Siebeldingen Queich;2.9.2020;0.5698
2377050700;Siebeldingen Queich;3.9.2020;0.5315
2377050700;Siebeldingen Queich;4.9.2020;0.5069
2377050700;Siebeldingen Queich;5.9.2020;0.515
2377050700;Siebeldingen Queich;6.9.2020;0.5059
2377050700;Siebeldingen Queich;7.9.2020;0.522
2377050700;Siebeldingen Queich;8.9.2020;0.4807
2377050700;Siebeldingen Queich;9.9.2020;0.487
2377050700;Siebeldingen Queich;10.9.2020;0.5181
2377050700;Siebeldingen Queich;11.9.2020;0.497
2377050700;Siebeldingen Queich;12.9.2020;0.4774
2377050700;Siebeldingen Queich;13.9.2020;0.4787
2377050700;Siebeldingen Queich;14.9.2020;0.4796
2377050700;Siebeldingen Queich;15.9.2020;0.4741
2377050700;Siebeldingen Queich;16.9.2020;0.4941
2377050700;Siebeldingen Queich;17.9.2020;0.4581
2377050700;Siebeldingen Queich;18.9.2020;0.4559
2377050700;Siebeldingen Queich;19.9.2020;0.4609
2377050700;Siebeldingen Queich;20.9.2020;0.4602
2377050700;Siebeldingen Queich;21.9.2020;0.4729
2377050700;Siebeldingen Queich;22.9.2020;0.4464
2377050700;Siebeldingen Queich;23.9.2020;0.4934
2377050700;Siebeldingen Queich;24.9.2020;0.6649
2377050700;Siebeldingen Queich;25.9.2020;0.7925
2377050700;Siebeldingen Queich;26.9.2020;0.6197
2377050700;Siebeldingen Queich;27.9.2020;0.9719
2377050700;Siebeldingen Queich;28.9.2020;0.5994
2377050700;Siebeldingen Queich;29.9.2020;0.5498
2377050700;Siebeldingen Queich;30.9.2020;0.5395
2377050700;Siebeldingen Queich;1.10.2020;0.5821
2377050700;Siebeldingen Queich;2.10.2020;0.5999
2377050700;Siebeldingen Queich;3.10.2020;0.6516
2377050700;Siebeldingen Queich;4.10.2020;0.6921
2377050700;Siebeldingen Queich;5.10.2020;0.6521
2377050700;Siebeldingen Queich;6.10.2020;1.2428
2377050700;Siebeldingen Queich;7.10.2020;0.9066
2377050700;Siebeldingen Queich;8.10.2020;0.6667
2377050700;Siebeldingen Queich;9.10.2020;0.6456
2377050700;Siebeldingen Queich;10.10.2020;0.696
2377050700;Siebeldingen Queich;11.10.2020;0.6042
2377050700;Siebeldingen Queich;12.10.2020;0.6067
2377050700;Siebeldingen Queich;13.10.2020;0.6493
2377050700;Siebeldingen Queich;14.10.2020;0.5829
2377050700;Siebeldingen Queich;15.10.2020;0.6073
2377050700;Siebeldingen Queich;16.10.2020;0.6162
2377050700;Siebeldingen Queich;17.10.2020;0.5678
2377050700;Siebeldingen Queich;18.10.2020;0.5428
2377050700;Siebeldingen Queich;19.10.2020;0.5439
2377050700;Siebeldingen Queich;20.10.2020;0.546
2377050700;Siebeldingen Queich;21.10.2020;0.5542
2377050700;Siebeldingen Queich;22.10.2020;0.5475
2377050700;Siebeldingen Queich;23.10.2020;0.628
2377050700;Siebeldingen Queich;24.10.2020;0.6212
2377050700;Siebeldingen Queich;25.10.2020;0.5732
2377050700;Siebeldingen Queich;26.10.2020;1.0641
2377050700;Siebeldingen Queich;27.10.2020;0.6888
2377050700;Siebeldingen Queich;28.10.2020;0.7087
2377050700;Siebeldingen Queich;29.10.2020;0.7711
2377050700;Siebeldingen Queich;30.10.2020;0.838
2377050700;Siebeldingen Queich;31.10.2020;0.6365
2377050700;Siebeldingen Queich;1.11.2020;0.7225
2377050700;Siebeldingen Queich;2.11.2020;0.6604
2377050700;Siebeldingen Queich;3.11.2020;0.5747
2377050700;Siebeldingen Queich;4.11.2020;0.5615
2377050700;Siebeldingen Queich;5.11.2020;0.5277
2377050700;Siebeldingen Queich;6.11.2020;0.5219
2377050700;Siebeldingen Queich;7.11.2020;0.5415
2377050700;Siebeldingen Queich;8.11.2020;0.539
2377050700;Siebeldingen Queich;9.11.2020;0.5416
2377050700;Siebeldingen Queich;10.11.2020;0.5385
2377050700;Siebeldingen Queich;11.11.2020;0.5252
2377050700;Siebeldingen Queich;12.11.2020;0.5541
2377050700;Siebeldingen Queich;13.11.2020;0.5532
2377050700;Siebeldingen Queich;14.11.2020;0.5432
2377050700;Siebeldingen Queich;15.11.2020;0.5579
2377050700;Siebeldingen Queich;16.11.2020;0.8886
2377050700;Siebeldingen Queich;17.11.2020;0.6497
2377050700;Siebeldingen Queich;18.11.2020;0.5737
2377050700;Siebeldingen Queich;19.11.2020;0.6017
2377050700;Siebeldingen Queich;20.11.2020;0.6164
2377050700;Siebeldingen Queich;21.11.2020;0.5458
